#,ID,WMO ID,Lat,Lon,Date/Time (UTC),CTD Station
1,A13500-20CA001,4902533,16.5421,-67.3423,04/26/2021 03:19,18
2,A13500-20CA002,4902534,16.5429,-67.3409,04/26/2021 03:21,18
